population,verdict,arms,advisory,kept,spread,signs,r0,observed,agrees,bracket,n_test
hmda_oh_2018_race,VOID (flat),7.0,0.0,5.0,0.86,+-+++,,,,,
hmda_sc_2018_race,EXTENSION,7.0,0.0,5.0,11.58,--+++,0.841,up,True,0.780-0.825,
hmda_tn_2018_race,VOID (flat),7.0,0.0,5.0,1.68,+-+++,,,,,
hmda_tx_2021_race_manufactured,WITHDRAWAL,7.0,0.0,5.0,33.69,----+,0.448,down,True,0.448-0.495,
ipums_income_br_2000_race_t280_s60k,UNMAPPED,,,,,,,,,,
ipums_income_br_2000_t253_s60k,UNMAPPED,,,,,,,,,,
ipums_income_br_2000_t560_s60k,UNMAPPED,,,,,,,,,,
ipums_income_br_2010_race_t600_s60k,UNMAPPED,,,,,,,,,,
ipums_income_br_2010_t600_s60k,UNMAPPED,,,,,,,,,,
ipums_income_mx_2015_t3600_s60k,UNMAPPED,,,,,,,,,,
ipums_income_mx_2020_t4300_s60k,UNMAPPED,,,,,,,,,,
ipums_income_mx_2020_t7740_s60k,UNMAPPED,,,,,,,,,,
lawschool_race,VOID (too few arms),7.0,0.0,2.0,,,,,,,
