seed,method,accuracy,dp_diff,eo_diff,baseline_accuracy,baseline_dp_diff,baseline_eo_diff,n_priv,n_unpriv,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
2,expgrad_dp,0.8200486128572626,0.03506673678917871,0.049854314627205965,0.8328723493420501,0.08128292410875537,0.11686390753603876,6956,4975,0.04621618731957666,0.010638297872340496,0.035577889447236166,0.23018553648267373,levelling up,0.033828729771804955,0.48723118401090687,mixed,280,206,67,244,6.986774008050604,6.251256281407035,0.5343511450381679,0.7711111111111111,103.0,0.06680077110049451,0.01718213058419244,0.2572145545796738,103,1.1374930977360573
2,expgrad_eo,0.8127566842678736,0.04844819265967559,0.06441119588129862,0.8328723493420501,0.08128292410875537,0.11686390753603876,6956,4975,0.03283473144907978,-0.01178838412880967,0.04462311557788945,-0.3590217921255467,levelling up,0.018328832231761405,0.18643224968879096,levelling up,175,257,52,274,6.21046578493387,6.552763819095477,0.3897550111358575,0.4274952919020716,304.0,0.06353197552594082,0.04861285726259324,0.7651715039577837,304,3.357261181667587
2,gridsearch_dp,0.8147682507752912,0.023549605416386066,0.039489717144130354,0.8328723493420501,0.08128292410875537,0.11686390753603876,6956,4975,0.057733318692369306,0.012507188039103001,0.045226130653266305,0.21663726115845292,levelling up,0.04472802233932904,0.5033212209401707,mixed,338,251,72,297,8.467510063254744,7.417085427135678,0.5322834645669291,0.7481751824817519,138.0,0.08029502975442125,0.0,0.0,138,1.5240198785201546
2,prejudice_remover,0.8321180119017685,0.035514287943455014,0.03898671482099486,0.8328723493420501,0.08128292410875537,0.11686390753603876,6956,4975,0.04576863616530036,0.01983898792409433,0.025929648241206027,0.4334625102754389,mixed,0.031117975758280125,0.43278318577112274,mixed,153,15,14,143,2.415181138585394,3.1557788944723617,0.5168918918918919,1.0569620253164558,-9.0,0.027239963121280696,0.0,0.0,-9,-0.09939260077305356
2,adversarial_debiasing,0.8307769675634901,0.07441948095855933,0.10965301208132083,0.8328723493420501,0.08128292410875537,0.11686390753603876,6956,4975,0.006863443150196047,0.00043128234617595407,0.006432160804020093,0.06283760741336292,levelling up,0.006167233000058059,0.3585165788873331,mixed,55,52,20,52,1.538240368027602,1.4472361809045227,0.514018691588785,0.7211538461538461,29.0,0.015002933534489985,0.0,0.0,29,0.3202650469353948
3,expgrad_dp,0.8203000586706898,0.02003430031121678,0.025430757381626368,0.8323694577151957,0.06938785358650634,0.09821725575919726,6956,4975,0.04935355327528956,0.016388729154686588,0.032964824120602976,0.3320678667911056,mixed,0.03622953477062729,0.5548098434004474,mixed,286,172,48,212,6.584243818286372,5.226130653266332,0.5742971887550201,0.8697916666666666,50.0,0.06017936468024474,0.007962450758528203,0.13231197771587744,50,0.5525472427892585
3,expgrad_eo,0.8096555192356047,0.025849113306613547,0.023384078885588355,0.8323694577151957,0.06938785358650634,0.09821725575919726,6956,4975,0.043538740279892796,-0.01696377228292123,0.060502512562814026,-0.38962478413174245,levelling up,0.02251978088861839,0.0,levelling up,200,318,49,350,7.446808510638298,8.020100502512562,0.36363636363636365,0.3727544910179641,419.0,0.07685860363758276,0.038890285810074594,0.5059978189749182,419,4.630345894573986
3,gridsearch_dp,0.8145168049618641,0.005647154692380862,0.03332065072777157,0.8323694577151957,0.06938785358650634,0.09821725575919726,6956,4975,0.06374069889412548,0.017107533064979807,0.04663316582914567,0.2683926182453027,mixed,0.04592842483874027,0.5295545868511022,mixed,351,232,61,293,8.381253594019551,7.115577889447236,0.5450310559006211,0.7847619047619048,113.0,0.07853490906043081,0.0,0.0,113,1.2487567687037242
3,prejudice_remover,0.8331237951554773,0.02499567995237839,0.01851425128418016,0.8323694577151957,0.06938785358650634,0.09821725575919726,6956,4975,0.04439217363412795,0.02127659574468077,0.02311557788944718,0.4792870905587665,mixed,0.028689032502745015,0.44840555730867904,mixed,166,18,20,135,2.645198389879241,3.1155778894472363,0.5514950166112956,1.2156862745098038,-33.0,0.028413376917274327,0.0,0.0,-33,-0.3646811802409106
3,adversarial_debiasing,0.8321180119017685,0.06506006166542888,0.09493862504927658,0.8323694577151957,0.06938785358650634,0.09821725575919726,6956,4975,0.004327791921077462,-0.006325474410580845,0.010653266331658306,-1.4615939319481037,levelling up,0.004196576308199584,-0.9579476714525088,levelling up,29,73,8,61,1.466359976998275,1.3869346733668342,0.32222222222222224,0.27611940298507465,97.0,0.014332411365350767,0.0,0.0,97,1.0719416510111615
4,expgrad_dp,0.8198809823149777,0.03201978841880482,0.03695378445737768,0.8328723493420501,0.07938476164606822,0.1156113331235249,6956,4975,0.04736497322726341,0.010782058654399074,0.03658291457286433,0.22763780742924375,levelling up,0.030090440027281895,0.49432217826693375,mixed,275,200,46,228,6.828637147786084,5.507537688442211,0.5467196819085487,0.75,107.0,0.06277763808565921,0.01751739166876205,0.27903871829105475,107,1.1840212459887132
4,expgrad_eo,0.8139300980638673,0.036045726042518544,0.03930142750445398,0.8328723493420501,0.07938476164606822,0.1156113331235249,6956,4975,0.04333903560354968,-0.015957446808510634,0.059296482412060314,-0.36820032071049685,levelling up,0.02233565881752031,-0.08999287944349868,levelling up,169,280,37,332,6.4548591144335825,7.417085427135678,0.3373253493013972,0.3366013071895425,406.0,0.06856089179448495,0.04534406168803956,0.6613691931540343,406,4.492641363284275
4,gridsearch_dp,0.8155225882155729,0.023517732422896565,0.024414292199817722,0.8328723493420501,0.07938476164606822,0.1156113331235249,6956,4975,0.05586702922317166,0.012650948821161578,0.04321608040201008,0.22644749500863764,levelling up,0.03583315237171858,0.5328997345487777,mixed,321,233,56,271,7.964347326049453,6.57286432160804,0.5422297297297297,0.748015873015873,127.0,0.07384125387645629,0.0,0.0,127,1.4053336284165099
4,prejudice_remover,0.8311960439192021,0.03973669381987566,0.04826640533260168,0.8328723493420501,0.07938476164606822,0.1156113331235249,6956,4975,0.03964806782619257,0.016532489936745276,0.023115577889447292,0.4169809739334504,mixed,0.02677104328703772,0.44298970179299235,mixed,132,17,11,126,2.1420356526739504,2.7537688442211055,0.5116279069767442,1.0,0.0,0.023971167546727012,0.0,0.0,0,0.0
4,adversarial_debiasing,0.8305255217500629,0.07002274165537292,0.09826686858488981,0.8328723493420501,0.07938476164606822,0.1156113331235249,6956,4975,0.009362019990695303,0.0007188039102933308,0.008643216080401972,0.07677871987111046,levelling up,0.005058891536195875,0.2781311213755581,mixed,48,43,15,58,1.308223116733755,1.4673366834170853,0.4528301886792453,0.6237623762376238,38.0,0.013745704467353952,0.0,0.0,38,0.420493526612814
