population,acc_plain,acc_floor,exchange_plain,exchange_floor,pool_plain,pool_floor
acs_income_sc_2022,0.7639770172370722,0.7623032725455908,1.0381382801519239,0.83525800057176,-0.4196212949719035,2.3290204476733622
acs_income_sc_2022,0.7747439420434674,0.773769672745441,1.1605192697452762,0.9639388162376337,-2.3340141267928742,0.6258863804377002
acs_income_sc_2022,0.7864101923557333,0.7867349487884087,1.2045718825283185,0.5961232960505699,-2.9971906774506554,8.848850691350284
acs_income_tn_2014,0.8056500735139677,0.8052720016803192,1.3429690901663036,0.9307868570585038,-5.913530555410583,1.9565529309089786
acs_income_tn_2018,0.7847661993922165,0.7840211743946672,1.1218713990860365,0.6013471958752944,-1.6771068792347545,8.87254295384767
acs_income_tn_2019,0.8384989305852615,0.8383044915419017,0.7569627600820541,0.7492446806079751,0.6069731059069932,0.6312201170315177
acs_income_tx_2014,0.78838161209068,0.7884655751469353,1.0808714308736103,0.9525922966529567,-1.3661447171788057,0.995225115138387
acs_income_tx_2018,0.7809357987149934,0.7808082789739565,0.9301731246897011,0.9267938881408639,0.8634031831448918,0.9029407452311693
acs_income_tx_2018,0.7880082397371132,0.7876747265682476,1.671003157305839,0.8023953649813704,-3.195352666966474,1.3262346771897473
acs_income_tx_2019,0.776344967219437,0.7768897030466642,0.8961548577445203,0.9035077077501228,1.1392327461604097,1.0607895590398224
acs_income_ut_2014,0.7971068595426971,0.7980867942137191,1.1815101423054535,0.643686469364802,-1.9060882584812249,5.166754418819704
acs_income_ut_2019,0.7728988674746672,0.7718259487383271,0.4831375857836454,0.4709715467694299,7.581223079613698,7.788833517945109
acs_income_va_2014,0.792038027332145,0.7918746286393346,0.7394154875416205,0.733517978104118,3.7754309434850697,3.8512760134545445
acs_income_va_2018,0.7856833285177693,0.7855099682172784,0.7284250223717542,0.7316667869748368,2.997322779811866,2.957879232813094
acs_income_va_2018,0.7804680728113262,0.7844986997977463,1.5424898763252108,0.9750604827150248,-3.600286345215605,0.219921235257504
acs_income_va_2019,0.783445384226126,0.7831128460926771,0.659653803223725,0.6494358226905954,3.490353949556159,3.62461546436786
acs_income_wa_2014,0.7869296709374136,0.7866531477555535,1.662692958406312,0.625369648490145,-3.002300800541731,2.951371526596044
acs_income_wa_2018,0.7869325767690253,0.7860981308411216,1.3189726971878728,0.7877820735018791,-5.522445872388741,5.285714684252876
acs_income_wi_2018,0.7679616600387478,0.767961660038748,1.390420396399633,0.9142979679517905,-3.228770275687302,1.0097332787616722
acs_income_wi_2018,0.8491689609462629,0.8488630570001019,0.7122762433969617,0.7365049484294488,0.6858705714092832,0.629109982733293
acs_income_wi_2019,0.7508829568788501,0.747946611909651,1.4688059905415947,0.721029898176613,-4.733103685993659,3.843621387731615
acs_income_wi_2019,0.8591786447638603,0.8584188911704314,0.7409838880630625,0.7451403880736851,0.4682876805552783,0.47084498318240564
dutch_2001,0.7676266137040716,0.7668211409025708,0.9425623574305352,0.9258051661028835,0.8767336240836124,1.1272018197931497
hmda_ak_2018,0.8867062871441977,0.886456052549265,0.7196545934615679,0.6738396685474947,0.7562308248028611,0.8673893619581119
hmda_al_2018,0.821638250769098,0.8216209999712486,0.7546900111577647,0.7530972365454474,1.4744223921856547,1.4807249669188856
hmda_ar_2018,0.8389296458542249,0.8381168522721276,0.5606707004755066,0.6021840245523812,2.021031986984471,1.8321468104677727
hmda_az_2018,0.8652714032188973,0.865537604797748,0.9263894913149487,0.8295700427647583,0.16552083877828244,0.3970507760011949
hmda_ca_2018,0.8547745131950094,0.8546712330769193,0.7016055224914239,0.674010389528247,0.5752355061635365,0.6419081855712807
hmda_co_2018,0.855738984618943,0.8555886434601596,0.5314911800043898,0.5385296888813936,1.287729582341383,1.2702697745892615
hmda_ct_2018,0.8460551867407308,0.8469042135212032,1.146529798714157,0.9730614226808434,-0.2855591544509678,0.06591283036285825
hmda_de_2018,0.8320776111881063,0.8326571752551342,1.0745972743679526,0.9864750287997893,-0.2635231091524473,0.06970282507452633
hmda_fl_2018,0.8363061388360302,0.8379175695445097,0.9511857034734253,0.7515126499678879,0.1500880285654826,0.8245344259297088
hmda_ga_2018,0.8398351074932165,0.8406230432060113,1.1072993761179828,1.014952566322049,-0.3547072259075037,-0.04862422728813779
hmda_il_2018,0.7166802278275022,0.7152156224572824,0.8472669278341096,0.8813326535670015,2.147672544066637,1.6346304366414361
hmda_il_2018,0.8079664570230607,0.8070943396226415,0.4847947622058427,0.5017442538701269,1.5890747639415486,1.5368824750931582
hmda_in_2018,0.7539548577036309,0.752855740922473,1.2665136903548024,0.9454935950132306,-0.9594107314008002,0.29976036698753794
hmda_in_2018,0.8187017211004202,0.8185119934950535,0.44364699594915924,0.454229677935322,1.1012125435477282,1.0734483860000303
hmda_ks_2018,0.8697543343748085,0.8701464191631441,0.4397092688099062,0.4199139122618324,1.6230575879494034,1.663930509010359
hmda_ky_2018,0.8411531690140845,0.840801056338028,0.5718613110564821,0.5801451875239189,0.659803725868489,0.6398964772621237
hmda_ma_2018,0.7353085706026883,0.7369851134557017,0.9915377607484526,0.9964181363761714,0.05316441118983326,0.0229039863465606
hmda_ma_2018,0.8225830627029728,0.8218086435173619,0.4548965108009629,0.4692583562979847,0.8747861235104925,0.877648433885776
hmda_md_2018,0.7389207807118254,0.7388748564867968,1.0233833294992531,0.9236707421074405,-0.23014515166897245,0.9727754387428401
hmda_md_2018,0.8014352574102963,0.8007488299531982,0.6262323004835093,0.6324867538245467,1.7262930624926607,1.7187230834125846
hmda_me_2018,0.8677409608218349,0.86689495417464,0.7333147783251232,0.6553144036023028,0.2702241421947455,0.4259715766761062
hmda_mi_2018,0.8575450464770284,0.8572144301318649,0.4479773072679304,0.489569941017599,1.1897150647013117,1.1128409110470443
hmda_mn_2018,0.7956296093963398,0.7919694072657744,0.7401369481746586,0.7317559213292475,1.0132619716349953,1.198815023798666
hmda_mn_2018,0.8396549019607843,0.8404078431372548,0.2237289969356177,0.22713798724623674,2.3015966734681443,2.3016467615221807
hmda_mo_2018,0.8698337956595724,0.8695820415394298,0.676058747341813,0.6987794646963502,0.6098988378881742,0.566136758879517
hmda_ms_la_2018,0.7501097522734399,0.7506114769520226,0.7377150391423137,0.7237548386056263,2.2755636294273094,2.388734877744386
hmda_ms_la_2018,0.6957768306857807,0.6963967454475009,1.0968356173540996,0.9418602126992184,-1.5732302584176732,1.2940640946764739
hmda_ms_la_2018,0.7337569499602858,0.7330685729414881,1.1243359666915769,1.0114765466518896,-1.4563932617383533,0.041913886892705234
hmda_ms_la_2018,0.8441021611001964,0.8442121807465618,0.2973246078171758,0.2968707295149082,7.409376639876678,7.418934549980401
hmda_ms_la_2018,0.8146090213828625,0.8143905103792728,0.43080600994460416,0.4378448051071507,2.952118942899324,2.935315392276333
hmda_mt_2018,0.8983845752996352,0.8972902553413237,0.9246031746031745,0.527511961722488,0.0841732928621576,0.10098655668741788
hmda_nc_2018,0.8491588196848298,0.8490450485342886,0.4609649521707288,0.4843180672758495,2.4669922433834452,2.3330924043516044
hmda_ne_2018,0.884002376304846,0.8842739540015276,0.8010477991783391,0.5141474503574426,0.3343905530992457,0.9092760859600053
hmda_nh_2018,0.8440337552742616,0.8451139240506329,1.300584231378576,0.43690084452028277,-0.2966632349822612,1.2658724549600453
hmda_nj_2018,0.8466997063142438,0.8472209985315711,1.0800843066925077,0.9539216864648692,-0.16472046348244285,0.11468368039454961
hmda_ny_2018,0.7083132336388487,0.7077022029265155,0.9827088516620496,0.9421957732303115,0.19432400466831412,0.6951517510621308
hmda_ny_2018,0.8285620915032681,0.8283006535947713,0.8561078803698763,0.8110926784911185,0.29599729495893906,0.36682945260059174
hmda_oh_2018,0.8491568315190122,0.8489648552542594,0.7318117657571401,0.7436769961889406,0.41194017058141197,0.39551832277595017
hmda_ok_2018,0.8605629570269459,0.8602824802163678,0.5306702677797587,0.46602949351508893,1.2906345678351834,1.5461161837338908
hmda_or_2018,0.8651057734684884,0.8655960775672102,0.7628089699455878,0.5903105049601918,0.35772954109439886,0.672325822946668
hmda_pa_2018,0.8444174432603558,0.8439247335800598,0.516174658146187,0.5523357508491185,1.0652733193692923,0.9957137201592289
hmda_ri_2018,0.8455714733870124,0.845404161873889,0.44568360325657286,0.3757042414422397,1.14907829153387,1.3825881082833067
hmda_sc_2018,0.8200097995753518,0.8201497935089479,0.4803386110028544,0.4912726978109103,4.218366504391757,4.098818526595278
hmda_tn_2018,0.8448435057617507,0.8447744374568323,0.653927647965279,0.6412830698766677,0.8414428610003636,0.889401857225609
hmda_tx_2018,0.8619214471435027,0.8630846110015916,0.6139511760256959,0.5526713004346343,1.5128792515958138,1.8180825534420406
hmda_va_2018,0.8580768774267936,0.8577241975685437,0.3862364700940672,0.4041219999047955,2.8357510349247677,2.72381931361451
hmda_vt_2018,0.8644221585482331,0.8643744030563516,0.8766555483631221,0.5817094034676294,0.12482707881998248,0.5659871444320822
hmda_wa_2018,0.8708646260650047,0.8710665825181445,0.6545048112692486,0.5889126318827202,0.7128396948394402,0.8814199880157556
hmda_wi_2018,0.8316543730242362,0.831822971548999,0.5520609276418258,0.41575988125956564,1.1127906783401733,1.4495765689383613
hmda_wi_2018,0.8434456928838951,0.8427715355805242,0.2830568502431,0.33666170117682104,1.2589410339434002,1.2002838518082783
hmda_wv_2018,0.8534659620764687,0.8521189514039996,1.5002771478470862,0.8993401507333395,-0.5347912814874274,0.16627435894463644
ipums_income_br_2000,0.6300222222222223,0.6295222222222222,0.9121314188044544,0.8804644997802397,2.2157800959088463,3.097304109481584
ipums_income_br_2000,0.6590444444444444,0.6525444444444444,2.6666250157724805,1.0194002353717702,-36.173138760528204,-0.8020835214501224
ipums_income_br_2010,0.6395777777777777,0.6395888888888889,0.6768973164011417,0.681347649287775,8.548019871827167,8.305811233052184
